               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.010012,            0.003318,          0.00016971,             0.99118,             0.98645,             0.99017,             0.81594,            0.016247,           0.0038201,           0.0016471,           0.0017087,           0.0017087,           0.0017087
                 136,           0.0098532,           0.0033826,          0.00014595,             0.99071,             0.98785,             0.99054,              0.8152,            0.016333,            0.003849,           0.0016724,           0.0016469,           0.0016469,           0.0016469
                 137,           0.0098446,           0.0032708,          0.00019514,             0.99123,             0.98831,             0.99024,             0.81721,            0.016305,           0.0038277,           0.0016803,            0.001585,            0.001585,            0.001585
                 138,           0.0096333,           0.0032555,          0.00015256,             0.99144,             0.98858,             0.98991,             0.81877,            0.016269,           0.0038262,           0.0016557,           0.0015231,           0.0015231,           0.0015231
                 139,           0.0097655,           0.0032108,           0.0001349,             0.99159,              0.9899,             0.99173,             0.81832,            0.016315,           0.0038422,           0.0016588,           0.0014612,           0.0014612,           0.0014612
                 140,           0.0095066,           0.0032478,          0.00011642,             0.99112,             0.98884,             0.98967,             0.81886,            0.016346,           0.0038546,           0.0016805,           0.0013994,           0.0013994,           0.0013994
                 141,            0.009514,           0.0031775,          0.00013444,             0.99073,             0.98884,             0.98962,             0.81846,            0.016362,           0.0038674,           0.0016699,           0.0013375,           0.0013375,           0.0013375
                 142,           0.0094329,            0.003193,          0.00013149,             0.99053,             0.98884,             0.98951,              0.8191,            0.016381,           0.0038804,           0.0016565,           0.0012756,           0.0012756,           0.0012756
                 143,           0.0093551,           0.0031103,           0.0001332,             0.99053,             0.98884,             0.98955,              0.8166,            0.016432,           0.0039107,           0.0016879,           0.0012138,           0.0012138,           0.0012138
                 144,           0.0092784,           0.0030661,          9.8379e-05,             0.99075,             0.98884,             0.98957,             0.81788,            0.016442,           0.0039275,           0.0016709,           0.0011519,           0.0011519,           0.0011519
                 145,           0.0092043,           0.0031719,          0.00011327,              0.9922,             0.98758,             0.98971,             0.81795,            0.016399,           0.0039242,           0.0016348,             0.00109,             0.00109,             0.00109
                 146,           0.0091672,           0.0031286,          0.00011729,             0.99212,             0.98795,              0.9897,             0.81789,             0.01636,           0.0039144,           0.0016233,           0.0010281,           0.0010281,           0.0010281
                 147,           0.0091188,           0.0030755,          0.00012665,             0.99122,             0.98885,             0.98967,             0.81846,            0.016381,           0.0039254,           0.0016201,          0.00096625,          0.00096625,          0.00096625
                 148,           0.0090564,           0.0031537,          0.00010581,             0.99003,             0.98983,             0.99012,             0.81881,            0.016392,           0.0039264,           0.0016377,          0.00090438,          0.00090438,          0.00090438
                 149,           0.0089562,           0.0030955,          0.00019085,             0.99177,             0.98722,             0.99024,             0.81807,            0.016392,            0.003932,           0.0016601,           0.0008425,           0.0008425,           0.0008425
